SMILES,InChI,InChIKey,K3FeCN6,MesAcr+BF4-,CuCl,Diacetyl,T(p-OMe)PPCo,Electrode,m_1_L,m_1_B1,m_1_B5,p_L,p_B1,p_B5,m_2_L,m_2_B1,m_2_B5,o_L,o_B1,o_B5,Charge_O,Charge_next_O,Charge_o_1,Charge_m_1,Charge_p,Charge_m_2,Charge_o_2,HOMO,MolLogP,MolWt,num_N,num_O,num_S,num_F,num_Cl,num_Br
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,1,1,1,1,1,0,2.14,1.0,1.0,4.07,2.77,3.19,2.14,1.0,1.0,4.07,2.77,3.19,-0.776769,0.395558,-0.276569,-0.230499,0.04648,-0.254754,-9.2e-05,-7.285308122,3.9872,206.329,0,1,0,0,0,0
C=CCc1ccc(O)c(OC)c1,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,1,0,0,0,1,0,2.14,1.0,1.0,4.54,1.55,4.07,2.14,1.0,1.0,3.89,1.28,3.1,-0.779112,0.361812,-0.236188,-0.236683,0.020132,-0.274169,0.375467,-7.062990984,2.1293,164.204,0,2,0,0,0,0
COc1cc(C=C(C#N)C#N)ccc1O,"InChI=1S/C11H8N2O2/c1-15-11-5-8(2-3-10(11)14)4-9(6-12)7-13/h2-5,14H,1H3",WKTJJISTXUHPEQ-UHFFFAOYSA-N,0,0,0,0,0,0,2.14,1.0,1.0,6.47,1.7,5.16,2.14,1.0,1.0,3.89,1.28,3.1,-0.75676,0.403551,-0.253076,-0.195056,-0.018948,-0.273299,0.370659,-7.769126814,1.83136,200.197,2,2,0,0,0,0
COc1ccc(O)cc1,"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3",NWVVVBRKAWDGAB-UHFFFAOYSA-N,1,0,0,0,1,0,2.14,1.0,1.0,3.89,1.28,3.1,2.14,1.0,1.0,2.14,1.0,1.0,-0.767634,0.39028,-0.232388,-0.265448,0.409231,-0.232866,-0.268632,-6.978907758,1.4008,124.139,0,2,0,0,0,0
C=CCc1c(C)cc(C)cc1O,"InChI=1S/C11H14O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h4,6-7,12H,1,5H2,2-3H3",VJBNTMUSFMRWSH-UHFFFAOYSA-N,0,0,0,0,0,0,2.99,1.52,2.03,2.14,1.0,1.0,2.99,1.52,2.03,4.54,1.55,4.07,-0.791513,0.403382,-0.279647,0.071555,-0.283242,0.052155,-0.07992,-7.295920568,2.73754,162.232,0,1,0,0,0,0
COc1ccc(O)c(C(C)(C)C)c1,"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,1,0,0,1,1,0,2.14,1.0,1.0,3.89,1.28,3.1,2.14,1.0,1.0,4.07,2.77,3.19,-0.77972,0.376528,-0.261721,-0.240948,0.434311,-0.321537,0.011914,-6.897273558,2.6983,180.247,0,2,0,0,0,0
CCCc1c(C)cc(C)cc1O,"InChI=1S/C11H16O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h6-7,12H,4-5H2,1-3H3",FFEBZYTUVUAZHA-UHFFFAOYSA-N,0,0,0,0,0,0,2.99,1.52,2.03,2.14,1.0,1.0,2.99,1.52,2.03,5.09,1.56,3.49,-0.774547,0.412321,-0.312869,0.071157,-0.284353,0.050831,-0.061436,-7.26680437,2.96154,164.248,0,1,0,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1Cl,"InChI=1S/C11H15ClO/c1-7-5-10(13)8(6-9(7)12)11(2,3)4/h5-6,13H,1-4H3",PDCFFHOQPXOVDC-UHFFFAOYSA-N,0,0,0,0,0,0,2.99,1.52,2.03,3.49,1.8,1.8,2.14,1.0,1.0,4.07,2.77,3.19,-0.773026,0.419157,-0.315258,0.085541,-0.19044,-0.195839,-0.0076,-7.461093766,3.65152,198.693,0,1,0,0,1,0
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,"InChI=1S/C19H29NO5/c1-18(2,3)13-10-12(8-9-15(13)21)11-14(16(22)24-7)20-17(23)25-19(4,5)6/h8-10,14,21H,11H2,1-7H3,(H,20,23)",UYLQLXFFKGZGSG-UHFFFAOYSA-N,0,1,0,0,0,0,2.14,1.0,1.0,6.28,1.53,8.12,2.14,1.0,1.0,4.07,2.77,3.19,-0.773795,0.396056,-0.278001,-0.221209,0.001822,-0.253275,-0.0021,-7.445583268,3.2985,351.443,1,5,0,0,0,0
Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,"InChI=1S/C17H20O/c1-12-5-7-13(8-6-12)14-9-10-16(18)15(11-14)17(2,3)4/h5-11,18H,1-4H3",MWXYQNUGONRDPF-UHFFFAOYSA-N,0,0,1,0,0,0,2.14,1.0,1.0,7.32,1.71,3.15,2.14,1.0,1.0,4.07,2.77,3.19,-0.773986,0.397007,-0.278751,-0.208511,0.008888,-0.254489,-0.002825,-6.976186618,4.66512,240.346,0,1,0,0,0,0
