,m_1_L,m_1_B1,m_1_B5,p_L,p_B1,p_B5,m_2_L,m_2_B1,m_2_B5,o_L,o_B1,o_B5,Charge_O,Charge_next_O,Charge_o_1,Charge_m_1,Charge_p,Charge_m_2,Charge_o_2,HOMO,MolLogP,MolWt,num_N,num_O,num_S,num_F,num_Cl,num_Br
m_1_L,1.0,0.5547239550422598,0.7729111118794931,-0.1923623041243423,-0.2245125575136554,-0.20536776987909267,-0.031558308297681026,0.01549106724397291,-0.04974784787425225,0.01763436802257464,0.06911751200251165,0.012439231440602577,-0.08242413025969662,0.11823768755000605,-0.4118916914199876,0.6035463224980407,-0.20705918706156773,0.04067610366419014,0.07746767110915076,0.03681062430596779,0.062288738221865196,0.025514354193063648,-0.06540376158355098,0.09009128945129936,-0.049505650348568346,-0.0031834628852575792,-0.04049854243791181,0.01645375289072172
m_1_B1,0.5547239550422598,1.0,0.5816876166838606,-0.2048828564031733,-0.2203640867342658,-0.2274565578150823,-0.030254672716905948,0.06409764406198802,-0.05103164904417386,-0.003615693556091367,0.09340815726018506,-0.006095861343813962,-0.03820409586031471,0.08376731313900149,-0.356195902583307,0.5488231884538454,-0.19798069788560144,0.0554528201621698,0.08748558423624654,-1.8505817610157068e-05,-0.019883531751959387,-0.06996716350918983,-0.08795239653974062,-0.029398527435324073,-0.06667252375364112,0.03735822592369174,0.01180028870122974,0.05172212473605362
m_1_B5,0.7729111118794931,0.5816876166838606,1.0,-0.19361086673233321,-0.2305746085049277,-0.2064216084256164,-0.03724951404750988,0.005151127133864938,-0.05269084890796223,0.022523956863258098,0.07035257713007102,0.02194911375865514,-0.09786161849346943,0.08819435943574692,-0.407108537418383,0.5917670797334509,-0.21275169584729026,0.020533614642758435,0.10331793335219011,0.0773304127926776,0.10583581318835032,0.07190287296872466,-0.02657913289961059,0.09719245401817435,-0.04467736354557002,-0.011390545995159446,-0.04874373006570036,0.007185284868256144
p_L,-0.1923623041243423,-0.2048828564031733,-0.19361086673233321,1.0,0.5141704505589318,0.6273902245901186,-0.2123873760172603,-0.21951303555852053,-0.22017565143438697,-0.29564879839026903,-0.35237504550308246,-0.35166439614573286,0.38167446107397085,-0.2493824360453715,0.1180586702704392,-0.248631387320438,0.3738527871147145,-0.24742383945065907,0.11752455050318895,0.17792918417839027,0.13769021047794305,0.2305188943547183,0.12679895405695882,0.19336538027262165,0.038543776869730165,-0.05259577937183146,-0.04126965112156335,-0.06003067664498883
p_B1,-0.2245125575136554,-0.2203640867342658,-0.2305746085049277,0.5141704505589318,1.0,0.5097161229490262,-0.2611999975527343,-0.2556443375240058,-0.27711440899463335,-0.1824121191384655,-0.1761077972150915,-0.21025196948849004,0.25780797265411776,-0.17860634547876697,0.16368833931680465,-0.24828508941787666,0.40449423900477277,-0.2649122636496756,0.10074334912156357,0.043167059001780306,0.13527598777230887,0.16871083045536805,0.03104043564677077,0.011684103428322767,0.006009824164760217,-0.03290538653669932,0.04819749084501537,0.2103933747698595
p_B5,-0.20536776987909267,-0.2274565578150823,-0.2064216084256164,0.6273902245901186,0.5097161229490262,1.0,-0.22672936825374396,-0.23707969893437764,-0.23418384421424326,-0.3471806252594618,-0.421587062350681,-0.41470590931264484,0.4213864278108062,-0.3558719314446253,0.14809965841498005,-0.28656621879970057,0.404015510911883,-0.294242500092846,0.19582250779278357,0.22754747037355635,0.14242651876000467,0.2458182364920077,0.16807039483938202,0.20584349558208687,0.06132891564297163,-0.0672841705632836,-0.07214237840653472,-0.1383357219460453
m_2_L,-0.031558308297681026,-0.030254672716905948,-0.03724951404750988,-0.2123873760172603,-0.2611999975527343,-0.22672936825374396,1.0,0.697282169425662,0.8048037851302107,-0.22592145926394186,-0.2598845678661044,-0.24111386515054076,0.1961793405952508,0.04694652045094329,0.006429566505005902,-0.036038197629347075,-0.20767436712724516,0.5223568157860942,-0.23066381479764583,-0.08899281046410591,-0.01359415932520807,-0.005624717259935812,0.019329576392269624,-0.020932601335268225,0.042671569901123786,-0.02389251089557392,0.03538638823754581,-0.04757543751747755
m_2_B1,0.01549106724397291,0.06409764406198802,0.005151127133864938,-0.21951303555852053,-0.2556443375240058,-0.23707969893437764,0.697282169425662,1.0,0.6945117940366392,-0.24770255459882876,-0.2652156997563534,-0.26928455196588713,0.22992145362914118,0.05294222982048905,-0.018550986416234167,-0.005846687315074149,-0.1883184288803251,0.5372945189194056,-0.2227878664172132,-0.15175308473231836,-0.056373857602530754,-0.0846282017714799,-0.058113066149033346,-0.07117000719796429,0.0027142843978120363,0.05245573264516681,0.07086578452126682,-0.012396714404442802
m_2_B5,-0.04974784787425225,-0.05103164904417386,-0.05269084890796223,-0.22017565143438697,-0.27711440899463335,-0.23418384421424326,0.8048037851302107,0.6945117940366392,1.0,-0.2326190311452477,-0.26969277163130506,-0.24846863513289785,0.19289882407628886,0.04825216182016565,-0.004901701740923147,-0.047452652990913516,-0.224555099279948,0.5325987535296406,-0.24373216278449994,-0.0764110559146694,0.011344396260440445,0.021559218301293304,0.046148448498060775,-0.0004991574258552562,0.048641848276049594,-0.03390808807452712,0.00940135606781695,-0.0658874074127184
o_L,0.01763436802257464,-0.003615693556091367,0.022523956863258098,-0.29564879839026903,-0.1824121191384655,-0.3471806252594618,-0.22592145926394186,-0.24770255459882876,-0.2326190311452477,1.0,0.5948544764865868,0.6134082353183569,-0.5935460626514504,0.198483153449595,0.017478468648917816,0.10508673071549672,-0.1655317932489795,-0.15870153967490364,0.12605529594348322,0.08958938547112336,0.2801390144930801,0.3636659117232974,0.19771429973617824,0.0938641349977519,0.009253220778031371,-0.04910336718024123,0.10831344744612546,0.1923253228129391
