SMILES,InChI,InChIKey,K3FeCN6,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,1,9.83630999622071,9.83630999622071,0.008587962962963047,-0.008587962962963047,0.6802500634680617,12.933333333333334,206.32899999999998,184.15299999999996,206.167065324,84,0,0.11881889831958155,-0.5076537926393321,0.5076537926393321,0.11881889831958155,0.8666666666666667,1.4,1.8,16.255462443054558,9.801508132819935,2.2125120403334897,-2.250879607602222,2.3393000324092443,-2.156741030339627,5.419658504598084,0.44441791916679785,1.998366035505752,3.299357946154574,350.58194170955596,11.853371151128522,10.679264403068837,10.679264403068837,6.621027033568037,5.4616406694625645,5.4616406694625645,6.23192824753301,6.23192824753301,2.6705919729273537,2.6705919729273537,1.6032731629403154,1.6032731629403154,-0.98,1105.0964176346808,12.091326676176887,3.5498441048882055,2.740489655789202,93.14517378686585,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.675157335066956,28.02325099064916,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,52.37240413693729,0.0,29.32600418877882,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,5.106527394840706,10.829980938793557,0.0,52.66932618153773,18.19910120538483,0.0,0.0,0.0,20.23,0.0,5.106527394840706,0.0,10.829980938793557,5.749511833283905,5.563451491696996,5.563451491696996,6.06636706846161,6.06636706846161,47.60879026660535,0.0,0.0,0.0,0.0,9.83630999622071,2.415856481481482,0.39861111111111125,5.9316203703703705,0.0,12.917602040816329,0.0,0.5714285714285714,15,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,3.9872000000000036,65.50680000000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=CCc1ccc(O)c(OC)c1,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,1,9.252350245653817,9.252350245653817,0.17158541194255506,0.17158541194255506,0.6932796632293877,9.416666666666666,164.20399999999998,152.10799999999998,164.083729624,64,0,0.1602603057731768,-0.5042546024667084,0.5042546024667084,0.1602603057731768,1.5833333333333333,2.3333333333333335,2.9166666666666665,16.473994547864102,10.128913972337212,1.9985271362385926,-2.0380169561354227,2.257574710091858,-1.8607527413378175,5.41609501707188,0.3728148033341275,2.0865919829346073,2.9595595472247798,279.16711032401867,8.974691494688164,7.07907652509542,7.07907652509542,5.774386907679233,3.7440630766793594,3.7440630766793594,2.4990004639770524,2.4990004639770524,1.624173393510649,1.624173393510649,1.0156731681243483,1.0156731681243483,-1.44,552.9468754776709,8.654696969696971,3.809658461029751,1.7840075614366737,72.10934752660204,9.843390348640755,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,6.578935683598497,12.142387175295491,24.117007251546223,0.0,7.109797541277533,9.843390348640755,0.0,0.0,0.0,0.0,6.4208216229260096,7.109797541277533,36.417508487514205,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,12.216324936118239,6.4208216229260096,0.0,5.563451491696996,30.854056995817206,0.0,0.0,0.0,29.46,0.0,5.106527394840706,0.0,5.749511833283905,5.749511833283905,11.984273114623004,7.109797541277533,12.13273413692322,12.142387175295491,6.578935683598497,4.736862953800049,4.947657785336357,0.0,0.0,9.252350245653817,1.0830092592592595,0.6802428193499626,5.272037037037037,2.599663643235072,3.630571617535903,1.5344675925925926,0.2,12,1,2,0,0,0,1,0,1,2,1,2,3,0,0,0,1,2.1293,48.55980000000003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(O)cc1,"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3",NWVVVBRKAWDGAB-UHFFFAOYSA-N,1,8.796632653061225,8.796632653061225,0.26000000000000023,0.26000000000000023,0.6127725486570803,9.0,124.13899999999998,116.07499999999997,124.052429496,48,0,0.11862884646960266,-0.5079622349506875,0.5079622349506875,0.11862884646960266,1.2222222222222223,1.7777777777777777,2.2222222222222223,16.465358000545187,10.31385597541513,1.8693008050757103,-1.9598366883116591,2.1398594202047647,-1.7875017560519724,5.292661356587302,0.4120112643878254,1.9003726279897948,2.881555877646136,178.61256853719755,6.69023444431199,5.164862962722324,5.164862962722324,4.325698502695489,2.6573464384916923,2.6573464384916923,1.6980252953746091,1.6980252953746091,1.0724230685098737,1.0724230685098737,0.582220945322911,0.582220945322911,-1.18,129.22533870330605,5.947877237851663,2.3955617406597787,1.3533930115039927,53.704124215596465,9.843390348640755,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26546827384644,0.0,7.109797541277533,9.843390348640755,0.0,0.0,0.0,0.0,0.0,7.109797541277533,24.26546827384644,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,12.216324936118239,0.0,0.0,0.0,24.26546827384644,0.0,0.0,0.0,29.46,0.0,0.0,0.0,5.749511833283905,0.0,5.749511833283905,0.0,31.37526581512397,0.0,0.0,9.843390348640755,4.858055555555556,0.0,0.0,8.796632653061225,0.0,1.0172222222222227,6.5717592592592595,0.0,0.0,1.5896636432350717,0.14285714285714285,9,1,2,0,0,0,1,0,1,2,1,2,1,0,0,0,1,1.4007999999999998,34.6588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(O)c(C(C)(C)C)c1,"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,1,9.610544690098262,9.610544690098262,0.056921296296296386,-0.056921296296296386,0.7196204900637714,11.384615384615385,180.24699999999996,164.11899999999997,180.115029752,72,0,0.11907032868407832,-0.5076493680895532,0.5076493680895532,0.11907032868407832,1.2307692307692308,1.8461538461538463,2.3076923076923075,16.465404867181963,9.860938773312748,2.177954351720115,-2.203089710344994,2.3258242009283876,-2.1079170455919414,5.425238193710467,0.40537631855986844,2.030511162134955,3.191702676530764,297.4488554839453,10.06047793231507,8.5875126935327,8.5875126935327,5.947706970623635,4.32401310515836,4.32401310515836,4.133079518565643,4.133079518565643,2.01173365939925,2.01173365939925,1.2428445644925592,1.2428445644925592,-1.18,615.2448821268914,9.90460236886633,3.2857524238519376,2.142679086551924,79.16389267318289,9.843390348640755,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.771211599071872,23.614091674781612,5.563451491696996,7.109797541277533,9.843390348640755,0.0,0.0,0.0,0.0,26.186202068468653,7.109797541277533,23.762552697081826,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,12.216324936118239,5.414990469396779,0.0,26.334663090768867,18.19910120538483,0.0,0.0,0.0,29.46,0.0,5.106527394840706,0.0,5.414990469396779,5.749511833283905,11.3129633249809,0.0,19.242531678200752,6.06636706846161,20.771211599071872,4.736862953800049,5.0938888888888885,0.0,0.0,9.610544690098262,0.8521990740740741,1.1074305555555561,5.2909953703703705,0.0,6.17111111111111,1.6238303099017384,0.45454545454545453,13,1,2,0,0,0,1,0,1,2,1,2,1,0,0,0,1,2.698300000000001,53.35880000000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1cc(C)ccc1O,"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",PETRWTHZSKVLRE-UHFFFAOYSA-N,1,9.109953703703704,9.109953703703704,0.18805555555555564,0.18805555555555564,0.6397107129957217,9.4,138.166,128.08599999999998,138.06807956,54,0,0.16023830796396954,-0.5042546064276908,0.5042546064276908,0.16023830796396954,1.4,2.1,2.6,16.47398864400251,10.20330250906377,1.9734479445028796,-2.0175528571897283,2.248714434819075,-1.8295156526122613,5.405657689140644,0.3729221006181178,1.9417167173945034,3.0906836464581975,230.69924244622516,7.560477932315068,6.087512693532698,6.087512693532698,4.736382105218448,3.0740131051583592,3.0740131051583592,2.175303162876071,2.175303162876071,1.3352245969680763,1.3352245969680763,0.7848439686222127,0.7848439686222127,-1.18,190.28823830466132,6.933378684807257,2.60339789453191,1.2095233527616807,60.06906632999306,9.843390348640755,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,24.619922828310838,0.0,7.109797541277533,9.843390348640755,0.0,0.0,0.0,0.0,6.923737199690624,7.109797541277533,23.762552697081826,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,12.216324936118239,0.0,6.923737199690624,5.563451491696996,18.19910120538483,0.0,0.0,0.0,29.46,0.0,0.0,0.0,5.749511833283905,5.749511833283905,5.563451491696996,7.109797541277533,12.13273413692322,12.990104268152233,0.0,9.843390348640755,4.875787037037037,0.0,0.0,9.109953703703704,1.0783796296296297,0.7158333333333335,5.237453703703704,0.0,1.946388888888889,1.5362037037037037,0.25,10,1,2,0,0,0,1,0,1,2,1,2,1,0,0,0,1,1.7092199999999997,39.39580000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1cc(C=O)ccc1O,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",MWOOGOJBHIARFG-UHFFFAOYSA-N,-1,10.248745275888133,10.248745275888133,0.0399074074074075,0.0399074074074075,0.6477438574453785,9.181818181818182,152.149,144.08499999999998,152.047344116,58,0,0.16068932365262117,-0.5042543227773111,0.5042543227773111,0.16068932365262117,1.5454545454545454,2.272727272727273,2.8181818181818183,16.47402486632955,10.19638222392047,1.9978700203030193,-2.0129684634464255,2.2470748675104724,-1.8539332197805212,5.758009951205339,0.11180065972100607,2.054947782314328,3.1161641338580526,268.03972257956417,8.267584713501616,6.0731112531861875,6.0731112531861875,5.274386907679233,3.098390500148688,3.098390500148688,2.0491373572175364,2.0491373572175364,1.3398615046902285,1.3398615046902285,0.7675205674503291,0.7675205674503291,-1.51,343.17627964649273,7.595374077976819,3.0531381005525,1.490370509139573,64.23058843003683,9.843390348640755,6.2861605231295545,11.49902366656781,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,18.19910120538483,5.563451491696996,7.109797541277533,14.637927532712578,6.2861605231295545,0.0,0.0,0.0,0.0,7.109797541277533,23.762552697081826,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,18.502485459247794,0.0,0.0,10.357988675768818,18.19910120538483,0.0,0.0,0.0,46.53,0.0,4.794537184071822,0.0,5.749511833283905,17.599123848110455,0.0,25.30889874666236,0.0,0.0,0.0,9.843390348640755,4.778564814814814,0.0,10.248745275888133,9.089545540438397,0.4857870370370374,0.35435185185185225,4.4124537037037035,0.6963888888888887,0.0,1.434162887377173,0.125,11,1,3,0,0,0,1,0,1,3,1,3,2,0,0,0,1,1.2132999999999998,40.046300000000016,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCc1ccc(O)cc1,"InChI=1S/C10H14O/c1-2-3-4-9-5-7-10(11)8-6-9/h5-8,11H,2-4H2,1H3",CYYZDBDROVLTJU-UHFFFAOYSA-N,1,8.982087506298816,8.982087506298816,0.35208191609977346,0.35208191609977346,0.7020150150989827,9.909090909090908,150.22099999999998,136.10899999999998,150.104465068,60,0,0.1150948401176844,-0.5079666452523371,0.5079666452523371,0.1150948401176844,1.1818181818181819,1.8181818181818181,2.3636363636363638,16.254632365654853,10.094840326250248,1.9067496307322882,-1.9793474180920885,2.1082266983804208,-1.8181419601011923,5.252623904556988,0.47478571556514976,2.0381744191227664,2.5186379432468304,200.6176913996566,8.104448006685086,6.877935015818105,6.877935015818105,5.325698502695488,4.105634174575719,4.105634174575719,2.7700005708042976,2.7700005708042976,1.7553455255066428,1.7553455255066428,1.0435154374839728,1.0435154374839728,-0.98,358.71869776560686,8.119800399201598,4.01556202779062,2.622157616428465,67.6854053292794,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.477292959539852,30.537828874472233,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,26.186202068468653,0.0,29.828919765543436,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,5.106527394840706,6.4208216229260096,0.0,25.328831937239638,24.26546827384644,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,5.749511833283905,6.4208216229260096,18.405094737549014,12.13273413692322,12.13273413692322,6.923737199690624,5.106527394840706,0.0,0.0,0.0,8.982087506298816,1.3098611111111111,0.35208191609977346,7.436481481481481,3.571856812169312,2.1809645061728395,0.0,0.4,11,1,1,0,0,0,1,0,1,1,1,1,3,0,0,0,1,2.734800000000002,46.71880000000003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1cc(C(C)=O)ccc1O,"InChI=1S/C9H10O3/c1-6(10)7-3-4-8(11)9(5-7)12-2/h3-5,11H,1-2H3",DFYRUELUNQRZTB-UHFFFAOYSA-N,-1,10.887634164777023,10.887634164777023,0.04398148148148162,-0.04787037037037023,0.6786166527324065,9.5,166.176,156.09599999999998,166.06299418,64,0,0.16069995325019046,-0.5042543208289495,0.5042543208289495,0.16069995325019046,1.5,2.1666666666666665,2.6666666666666665,16.47403374926805,10.129260009793889,2.042093191873753,-2.030508336818431,2.2561638849993693,-1.9244940322567077,5.941963764089171,0.10126141344420435,2.045916443788426,3.134300249949543,304.64199945095794,9.137828201504695,6.995760983996561,6.995760983996561,5.647065707741406,3.528137250390291,3.528137250390291,2.4428142461291555,2.4428142461291555,1.5862487447786104,1.5862487447786104,0.8966157179852196,0.8966157179852196,-1.51,482.83628073406857,8.585328884652048,3.2579530539373915,1.5570110928371719,70.59553054443344,9.843390348640755,0.0,17.28226861293275,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,25.122838405075452,5.563451491696996,7.109797541277533,14.637927532712578,5.783244946364939,0.0,0.0,0.0,6.923737199690624,7.109797541277533,23.762552697081826,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,17.99956988248318,0.0,0.0,17.28172587545944,18.19910120538483,0.0,0.0,0.0,46.53,0.0,9.901064578912528,0.0,11.532756779648844,11.3129633249809,0.0,26.166268877891376,6.06636706846161,0.0,0.0,4.736862953800049,4.833564814814815,0.0,10.887634164777023,9.18043745275888,0.5320833333333337,0.318055555555556,4.507361111111111,0.0,1.4641080876795163,1.4434221466364323,0.2222222222222222,12,1,3,0,0,0,1,0,1,3,1,3,2,0,0,0,1,1.6033999999999997,44.66330000000003,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1cc(C#N)ccc1O,"InChI=1S/C8H7NO2/c1-11-8-4-6(5-9)2-3-7(8)10/h2-4,10H,1H3",QJRWLNLUIAJTAD-UHFFFAOYSA-N,-1,9.096064814814815,9.096064814814815,0.047685185185185386,0.047685185185185386,0.6537519696617524,8.727272727272727,149.149,142.093,149.047678464,56,0,0.16129383477728387,-0.5042538209220877,0.5042538209220877,0.16129383477728387,1.5454545454545454,2.272727272727273,2.8181818181818183,16.473993066139688,10.19627322541545,1.9989157507896504,-2.0074500309879486,2.249973169111922,-1.8364576290264167,5.451012921989142,0.3731227832968637,2.054947782314328,3.1497139282376434,301.4506347581317,8.267584713501616,6.0347262890326565,6.0347262890326565,5.274386907679233,3.047619902908338,3.047619902908338,1.9984314271562478,1.9984314271562478,1.3088219248596202,1.3088219248596202,0.7471727884251466,0.7471727884251466,-1.69,343.17627964649273,7.417411385606875,2.930351190244437,1.4115925606270756,64.46164601146178,9.843390348640755,0.0,11.49902366656781,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,12.13273413692322,6.06636706846161,18.7424703457668,9.843390348640755,0.0,5.261891554738487,0.0,0.0,0.0,7.109797541277533,23.762552697081826,0.0,17.568244979360085,4.736862953800049,0.0,11.49902366656781,0.0,12.216324936118239,0.0,11.33111286753076,5.563451491696996,18.19910120538483,0.0,0.0,0.0,53.25,0.0,0.0,0.0,5.749511833283905,11.3129633249809,0.0,25.30889874666236,0.0,6.069221312792274,0.0,15.105281903379241,4.786342592592593,0.0,0.0,17.55732709750567,0.47189814814814834,0.37087962962963017,6.372870370370371,0.0,0.0,1.4406821617535903,0.125,11,1,3,0,0,0,1,0,1,3,1,3,1,0,0,0,1,1.2724799999999996,39.37380000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(O)c(C)c1,"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",KUFFULVDNCHOFZ-UHFFFAOYSA-N,1,9.043703703703704,9.043703703703704,0.37555555555555586,0.37555555555555586,0.5577043959706656,9.555555555555555,122.16699999999999,112.08699999999997,122.07316494,48,0,0.1179993234178107,-0.5076869366940918,0.5076869366940918,0.1179993234178107,1.2222222222222223,1.8888888888888888,2.3333333333333335,16.255283231028777,10.141013979595714,1.9121012180816055,-1.9662802561396773,2.150367655119553,-1.7478908746833284,5.335343229290061,0.4707220428245061,1.7965675742516065,3.1716780304409156,215.80766205433733,6.8533711511285205,5.679264403068835,5.679264403068835,4.198377302757663,2.9616406694625645,2.9616406694625645,2.2899409494252287,2.2899409494252287,1.3522952509676331,1.3522952509676331,0.8053865790869079,0.8053865790869079,-0.98,104.20091930659318,6.144688279301746,2.094917408045428,1.2244346499594405,54.95552110048619,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.696185628620217,25.477292959539852,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,13.847474399381248,0.0,29.32600418877882,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,5.106527394840706,0.0,13.847474399381248,11.126902983393991,18.19910120538483,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,5.749511833283905,5.563451491696996,5.563451491696996,6.06636706846161,25.980208536304467,0.0,5.106527394840706,0.0,0.0,0.0,9.043703703703704,2.1252777777777783,0.37555555555555586,5.55787037037037,0.0,3.8975925925925927,0.0,0.25,9,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,2.00904,37.5808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
