InChI,K3FeCN6,MesAcr+BF4-,CuCl,Diacetyl,T(p-OMe)PPCo,Electrode,PC1,PC2
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",1,1,1,1,1,0,-0.7215194792557589,-0.5731191909834648
"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",1,0,0,0,1,0,0.30866159000403953,-1.9057966729101317
"InChI=1S/C11H8N2O2/c1-15-11-5-8(2-3-10(11)14)4-9(6-12)7-13/h2-5,14H,1H3",0,0,0,0,0,0,0.6579661302836133,-2.1446037205236497
"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3",1,0,0,0,1,0,-0.8729648885325861,-0.807816041234857
"InChI=1S/C11H14O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h4,6-7,12H,1,5H2,2-3H3",0,0,0,0,0,0,-0.5330479069501654,-0.40241241573158854
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",1,0,0,1,1,0,-0.28890609331806566,-1.4443360701203303
"InChI=1S/C11H16O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h6-7,12H,4-5H2,1-3H3",0,0,0,0,0,0,-0.7163375483435142,-0.5641412094100695
"InChI=1S/C11H15ClO/c1-7-5-10(13)8(6-9(7)12)11(2,3)4/h5-6,13H,1-4H3",0,0,0,0,0,0,-0.8347602510399782,-0.3343093932806642
"InChI=1S/C19H29NO5/c1-18(2,3)13-10-12(8-9-15(13)21)11-14(16(22)24-7)20-17(23)25-19(4,5)6/h8-10,14,21H,11H2,1-7H3,(H,20,23)",0,1,0,0,0,0,-0.18914624870763525,-1.32542901584169
"InChI=1S/C17H20O/c1-12-5-7-13(8-6-12)14-9-10-16(18)15(11-14)17(2,3)4/h5-11,18H,1-4H3",0,0,1,0,0,0,-0.7167727633216197,-0.615197099279697
"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",1,0,0,0,1,0,0.06693162464239953,-1.9464792436937077
"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",-1,0,0,0,0,0,0.6019210035519444,-2.232478944295285
"InChI=1S/C8H9NO3/c1-12-8-4-6(5-9-11)2-3-7(8)10/h2-5,10-11H,1H3",0,0,0,0,0,0,1.2373256390607905,-1.8278884456650988
"InChI=1S/C22H27NO5/c1-22(2,3)17-12-16(10-11-19(17)24)13-18(20(25)27-4)23-21(26)28-14-15-8-6-5-7-9-15/h5-12,18,24H,13-14H2,1-4H3,(H,23,26)",0,1,0,0,0,0,-0.1821710485277991,-0.7742280417893125
"InChI=1S/C10H14O/c1-2-3-4-9-5-7-10(11)8-6-9/h5-8,11H,2-4H2,1H3",1,0,0,0,0,0,-1.2244421341840344,-0.12886440725920867
"InChI=1S/C17H20O/c1-12-6-5-7-13(10-12)14-8-9-16(18)15(11-14)17(2,3)4/h5-11,18H,1-4H3",0,0,1,0,0,0,-0.6648139801834773,-0.33583616062724975
"InChI=1S/C24H26O/c1-23(2,18-11-7-5-8-12-18)20-15-16-22(25)21(17-20)24(3,4)19-13-9-6-10-14-19/h5-17,25H,1-4H3",0,0,1,0,0,0,-0.47293325031333705,0.06713230947200191
"InChI=1S/C9H10O3/c1-6(10)7-3-4-8(11)9(5-7)12-2/h3-5,11H,1-2H3",-1,0,0,0,0,0,-0.043676008767320196,-2.1758661511468063
