k,Accuracy,Precision,Recall,F1
1,0.8783783783783784,0.7916666666666666,0.8260869565217391,0.8085106382978724
2,0.8648648648648649,0.8421052631578947,0.6956521739130435,0.761904761904762
3,0.8783783783783784,0.7916666666666666,0.8260869565217391,0.8085106382978724
4,0.8378378378378378,0.8235294117647058,0.6086956521739131,0.7
5,0.8378378378378378,0.7391304347826086,0.7391304347826086,0.7391304347826085
6,0.7837837837837838,0.7058823529411765,0.5217391304347826,0.6
7,0.7837837837837838,0.6666666666666666,0.6086956521739131,0.6363636363636365
8,0.7837837837837838,0.6842105263157895,0.5652173913043478,0.6190476190476191
9,0.7702702702702703,0.65,0.5652173913043478,0.6046511627906976
10,0.7972972972972973,0.7222222222222222,0.5652173913043478,0.6341463414634146
11,0.7567567567567568,0.6190476190476191,0.5652173913043478,0.5909090909090909
12,0.7837837837837838,0.6842105263157895,0.5652173913043478,0.6190476190476191
13,0.7702702702702703,0.65,0.5652173913043478,0.6046511627906976
14,0.7972972972972973,0.7222222222222222,0.5652173913043478,0.6341463414634146
15,0.7837837837837838,0.6842105263157895,0.5652173913043478,0.6190476190476191
