k,Accuracy,Precision,Recall,F1
1,0.7567567567567568,0.5862068965517241,0.7391304347826086,0.6538461538461539
2,0.7432432432432432,0.6428571428571429,0.391304347826087,0.4864864864864865
3,0.7837837837837838,0.6296296296296297,0.7391304347826086,0.68
4,0.7162162162162162,0.55,0.4782608695652174,0.5116279069767442
5,0.7432432432432432,0.5833333333333334,0.6086956521739131,0.5957446808510638
6,0.7297297297297297,0.5882352941176471,0.43478260869565216,0.5
7,0.7432432432432432,0.6,0.5217391304347826,0.5581395348837209
8,0.7432432432432432,0.6111111111111112,0.4782608695652174,0.5365853658536586
9,0.7297297297297297,0.5652173913043478,0.5652173913043478,0.5652173913043478
10,0.7297297297297297,0.5789473684210527,0.4782608695652174,0.5238095238095238
11,0.7297297297297297,0.5714285714285714,0.5217391304347826,0.5454545454545454
12,0.7297297297297297,0.5882352941176471,0.43478260869565216,0.5
13,0.7162162162162162,0.55,0.4782608695652174,0.5116279069767442
14,0.7027027027027027,0.5294117647058824,0.391304347826087,0.45
15,0.7297297297297297,0.5714285714285714,0.5217391304347826,0.5454545454545454
