k,Accuracy,Precision,Recall,F1
1,0.7567567567567568,0.6,0.6521739130434783,0.6250000000000001
2,0.7297297297297297,0.6,0.391304347826087,0.47368421052631576
3,0.7567567567567568,0.5806451612903226,0.782608695652174,0.6666666666666667
4,0.7162162162162162,0.5416666666666666,0.5652173913043478,0.5531914893617021
5,0.7162162162162162,0.5357142857142857,0.6521739130434783,0.5882352941176471
6,0.6486486486486487,0.42857142857142855,0.391304347826087,0.4090909090909091
7,0.6486486486486487,0.44,0.4782608695652174,0.4583333333333333
8,0.6621621621621622,0.45454545454545453,0.43478260869565216,0.4444444444444445
9,0.6216216216216216,0.4074074074074074,0.4782608695652174,0.44000000000000006
10,0.6621621621621622,0.4583333333333333,0.4782608695652174,0.4680851063829787
11,0.6351351351351351,0.4230769230769231,0.4782608695652174,0.44897959183673475
12,0.6891891891891891,0.5,0.43478260869565216,0.46511627906976744
13,0.6621621621621622,0.4583333333333333,0.4782608695652174,0.4680851063829787
14,0.7027027027027027,0.5238095238095238,0.4782608695652174,0.5
15,0.7027027027027027,0.5217391304347826,0.5217391304347826,0.5217391304347826
