k,Accuracy,Precision,Recall,F1
1,0.7702702702702703,0.6,0.782608695652174,0.6792452830188679
2,0.7972972972972973,0.7,0.6086956521739131,0.6511627906976744
3,0.8243243243243243,0.65625,0.9130434782608695,0.7636363636363634
4,0.8243243243243243,0.75,0.6521739130434783,0.6976744186046512
5,0.8243243243243243,0.6923076923076923,0.782608695652174,0.7346938775510203
6,0.7567567567567568,0.631578947368421,0.5217391304347826,0.5714285714285715
7,0.7567567567567568,0.6190476190476191,0.5652173913043478,0.5909090909090909
8,0.7837837837837838,0.7692307692307693,0.43478260869565216,0.5555555555555555
9,0.7162162162162162,0.55,0.4782608695652174,0.5116279069767442
10,0.7432432432432432,0.625,0.43478260869565216,0.5128205128205128
11,0.7027027027027027,0.5238095238095238,0.4782608695652174,0.5
12,0.7162162162162162,0.5625,0.391304347826087,0.46153846153846156
13,0.7027027027027027,0.5263157894736842,0.43478260869565216,0.47619047619047616
14,0.7432432432432432,0.625,0.43478260869565216,0.5128205128205128
15,0.7432432432432432,0.625,0.43478260869565216,0.5128205128205128
