,min,max,Q1,Q2,Q3,std,Q3-Q1,range
m_1_L,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,1.137640067256873e-16,0.0,0.0
m_1_B1,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,1.137640067256873e-16,0.0,0.0
m_1_B5,-0.284520038265269,-0.284520038265269,-0.284520038265269,-0.284520038265269,-0.284520038265269,5.688200336284365e-17,0.0,0.0
p_L,-0.4672594560292097,1.4180286808884055,-0.0983987335888067,0.683722613067233,0.8852298595856013,0.5983682868349885,0.983628593174408,1.885288136917615
p_B1,0.1960578744864948,6.127410782067279,0.636275473096006,0.7984609041626681,3.092226286391174,1.8037771063509458,2.455950813295168,5.931352907580784
p_B5,-0.5043416996906498,0.6868789973865599,-0.1881883393289259,0.1533702017761509,0.2239401482854642,0.37931248560442843,0.41212848761439014,1.1912206970772097
m_2_L,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,5.688200336284365e-17,0.0,0.0
m_2_B1,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,5.688200336284365e-17,0.0,0.0
m_2_B5,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,0.0,0.0,0.0
o_L,-0.536556433770737,0.429842394438018,-0.1597655549023414,-0.1597655549023414,-0.1597655549023414,0.22029422636696866,0.0,0.966398828208755
o_B1,0.3706565571201789,3.706923156046265,3.6804448497055815,3.6804448497055815,3.6804448497055815,0.996429682511121,0.0,3.3362665989260862
o_B5,-0.6084502690686409,0.570915928361603,-0.2803771781767745,-0.2803771781767745,-0.2803771781767745,0.2925351965179943,0.0,1.1793661974302438
Charge_O,-0.9783561376864398,0.4050392522316186,-0.0409108557728502,0.1092554297888901,0.1558944985408087,0.36399765668224604,0.1968053543136589,1.3833953899180584
Charge_next_O,-2.137936817340287,-0.5793408068146153,-0.8210707561477227,-0.7657042696455202,-0.7180184940807554,0.43754195264595647,0.10305226206696738,1.5585960105256715
Charge_o_1,-0.5804955308164715,1.1693517852427648,-0.406913088476712,-0.373428517681839,-0.3106203746155276,0.5329992377833325,0.09629271386118438,1.7498473160592365
Charge_m_1,-0.6199546744661643,-0.4517161399600758,-0.6038420867822748,-0.496816051387127,-0.4752421693418603,0.06707070054421213,0.1285999174404145,0.16823853450608844
Charge_p,0.4413724782735153,0.8102892151095005,0.5517427683216679,0.6016191487542467,0.7903375322091866,0.13082123801456474,0.23859476388751866,0.3689167368359852
Charge_m_2,-0.7400406926839064,-0.5262924102142753,-0.6811036779489663,-0.6663794181067527,-0.5852694003153033,0.06310022352068034,0.09583427763366303,0.21374828246963107
Charge_o_2,0.2391968816027287,0.4039419143561437,0.367043438885841,0.369966300417117,0.3770380132946744,0.04289002466623849,0.00999457440883339,0.16474503275341498
HOMO,-0.2499626775776909,1.42183170893204,0.1579274051060123,0.4159803145589656,0.7649066948139019,0.4710034452330483,0.6069792897078896,1.671794386509731
MolLogP,-0.0195076574719558,2.9241841060589215,0.9620745499604688,1.0625751351699158,1.4381337562473455,0.8052196083024041,0.4760592062868767,2.9436917635308775
MolWt,-1.348213689151942,1.3399325325059257,-0.6875458301421579,-0.4521649485993192,-0.1218310190944274,0.7424592881985265,0.5657148110477305,2.6881462216578678
num_N,-1.164758519549028,-1.164758519549028,-1.164758519549028,-1.164758519549028,-1.164758519549028,2.275280134513746e-16,0.0,0.0
num_O,-1.3285968464675062,-0.5168215630659454,-1.3285968464675062,-1.3285968464675062,-1.3285968464675062,0.3266371932662356,0.0,0.8117752834015608
num_S,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,1.137640067256873e-16,0.0,0.0
num_F,-0.2116436181306902,5.724132806195982,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,1.8061992466172636,0.0,5.935776424326672
num_Cl,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,1.137640067256873e-16,0.0,0.0
num_Br,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,0.0,0.0,0.0
