,min,max,Q1,Q2,Q3,std,Q3-Q1,range
m_1_L,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,-0.2899852731037733,1.699674944388148e-16,0.0,0.0
m_1_B1,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,-0.3418464888768991,5.665583147960493e-17,0.0,0.0
m_1_B5,-0.284520038265269,-0.284520038265269,-0.284520038265269,-0.284520038265269,-0.284520038265269,1.1331166295920987e-16,0.0,0.0
p_L,-0.4672594560292097,1.6878434685994412,-0.1598755206622072,-0.0710757171117397,0.249969726493796,0.6021234848551222,0.40984524715600323,2.155102924628651
p_B1,-0.6612079754372906,3.092226286391174,-0.3600064605992036,0.2423965690769697,0.2887352636674446,0.9239283822586715,0.6487417242666482,3.7534342618284646
p_B5,-0.5043416996906498,1.2627297609025567,-0.2023023286307885,-0.1768971478874357,0.2098261589836013,0.49557197130473446,0.4121284876143898,1.7670714605932065
m_2_L,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,-0.3069629710246108,1.1331166295920987e-16,0.0,0.0
m_2_B1,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,-0.3491799364457628,5.665583147960493e-17,0.0,0.0
m_2_B5,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,-0.3119155677637267,0.0,0.0,0.0
o_L,-0.8331048106579002,0.1193387998149885,-0.8331048106579002,-0.2225640347137407,-0.1597655549023414,0.3451782508619501,0.6733392557555589,0.9524436104728887
o_B1,-1.0062153725953489,3.6804448497055815,-1.0062153725953489,-0.2648227950562183,0.3706565571201789,1.6185372379023093,1.3768719297155279,4.68666022230093
o_B5,-0.8997565480502119,-0.1927024728522239,-0.8997565480502119,-0.305831124883902,-0.2973464759815262,0.2955622705735168,0.6024100720686857,0.707054075197988
Charge_O,-1.0160128672713258,1.5889230702664676,-0.2581567896012391,-0.0625030172320732,0.4749978553594965,0.6809248799729848,0.7331546449607356,2.6049359375377934
Charge_next_O,-2.3820853735217793,0.5645621808421466,-2.0272365282122142,-1.44098583848967,-0.5378976516287882,0.9792069403156514,1.489338876583426,2.946647554363926
Charge_o_1,-0.481876589434313,1.2921176235679963,0.3645425905213929,0.9419384722415832,1.1322631999787771,0.5933333300658121,0.7677206094573843,1.7739942130023092
Charge_m_1,-0.9482633928406446,-0.3060717941132044,-0.6558954172720294,-0.6104180513750775,-0.5096789919942144,0.1653642429920948,0.14621642527781498,0.6421915987274402
Charge_p,0.2341610501127304,3.002944678671896,0.6475945200620828,0.7424512317938676,2.8398033463478773,1.1048787886998432,2.1922088262857944,2.7687836285591656
Charge_m_2,-1.1297871869145804,-0.2686311880975731,-0.8825595353467042,-0.6828692566178287,-0.3942004755392892,0.2847520358639149,0.48835905980741495,0.8611559988170072
Charge_o_2,-0.8117436471522604,2.1020693156967125,-0.6403596038089371,0.3947915336261549,1.9773746976265727,1.269625155997729,2.61773430143551,2.913812962848973
HOMO,-0.5135651119651172,1.5196420859021116,0.1572337144892024,0.4999168791928556,0.9417978021002004,0.5448643470841308,0.7845640876109979,2.033207197867229
MolLogP,-1.5403972468148013,0.6951085813415573,-1.111141979491749,-0.7672435715263104,-0.209757938545655,0.6900567660037721,0.901384040946094,2.2355058281563585
MolWt,-1.84371458340928,-0.8527127948946037,-1.4901604889017626,-1.348213689151942,-1.1598265593968706,0.27969831514967436,0.33033392950489193,0.9910017885146764
num_N,-1.164758519549028,-1.164758519549028,-1.164758519549028,-1.164758519549028,-1.164758519549028,4.532466518368395e-16,0.0,0.0
num_O,-1.3285968464675062,1.1067290037371764,-1.3285968464675062,-0.5168215630659454,0.2949537203356154,0.7884395735457403,1.6235505668031216,2.4353258502046824
num_S,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,-0.3803344302566363,5.665583147960493e-17,0.0,0.0
num_F,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,-0.2116436181306902,0.0,0.0,0.0
num_Cl,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,-0.3968360899009251,0.0,0.0,0.0
num_Br,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,-0.3518791269209797,5.665583147960493e-17,0.0,0.0
