,min,max,range
m_1_L,-0.2899852731037733,0.4440111421286035,0.7339964152323768
m_1_B1,-0.3418464888768991,1.837067833256641,2.17891432213354
m_1_B5,-0.284520038265269,0.3956450186824832,0.6801650569477522
p_L,-0.4672594560292097,1.3326442543975714,1.799903710426781
p_B1,0.1960578744864948,3.092226286391174,2.896168411904679
p_B5,-0.5043416996906498,1.4066924517815564,1.9110341514722062
m_2_L,-0.3069629710246108,0.2775841438333751,0.5845471148579859
m_2_B1,-0.3491799364457628,1.6207737586799018,1.9699536951256646
m_2_B5,-0.3119155677637267,0.215339626491503,0.5272551942552297
o_L,-0.8331048106579002,1.3753083960429735,2.2084132067008735
o_B1,-1.0062153725953489,3.6804448497055815,4.68666022230093
o_B5,-0.8997565480502119,-0.1304817142348009,0.769274833815411
Charge_O,-0.3683631816891075,0.6347798501577454,1.0031430318468528
Charge_next_O,-2.137936817340287,0.3864023709699505,2.5243391883102375
Charge_o_1,-1.5583301838232837,1.1854060315142796,2.743736215337563
Charge_m_1,-0.611379380728106,1.0675616922949345,1.6789410730230405
Charge_p,0.3746030322398772,0.8102892151095005,0.4356861828696233
Charge_m_2,-0.7604547796325677,1.3590791056904752,2.119533885323043
Charge_o_2,-1.0151900815745154,0.4039419143561437,1.419131995930659
HOMO,-0.6786634787656619,1.0756800911443414,1.7543435699100032
MolLogP,-0.8057531415598369,1.2063827302819812,2.012135871841818
MolWt,-1.84371458340928,1.256542467319013,3.100257050728293
num_N,-1.164758519549028,-0.4205319076196737,0.7442266119293544
num_O,-1.3285968464675062,1.9185042871387372,3.247101133606243
num_S,-0.3803344302566363,-0.3803344302566363,0.0
num_F,-0.2116436181306902,5.724132806195982,5.935776424326672
num_Cl,-0.3968360899009251,-0.3968360899009251,0.0
num_Br,-0.3518791269209797,2.488114172536408,2.839993299457388
