,0
1602,4665
1873,4665
807,4665
1380,4665
1750,4458
1607,3119
1057,3009
875,3006
725,2331
1088,2314
80,2242
389,2115
694,2107
650,2036
695,1965
745,1772
1199,1739
1917,1613
1475,1550
864,1534
1313,1132
1152,1095
2033,1094
486,1059
841,1045
1778,1042
1970,1025
1536,1011
294,961
629,941
1831,939
1991,904
25,883
961,877
1722,867
1683,829
1919,824
1452,796
1385,796
561,736
1039,707
249,701
322,687
133,685
1754,669
378,669
1168,663
456,635
935,622
1802,616
926,613
1697,583
269,574
1155,572
718,567
728,553
310,537
1631,537
1824,515
1211,509
1828,487
381,477
1,452
216,449
909,432
1447,430
1764,427
441,427
1157,404
65,398
1854,395
265,391
614,390
794,387
1019,386
1613,379
1391,377
318,372
816,369
1911,368
766,364
1238,364
1410,361
1867,359
1017,344
366,339
1928,338
1823,338
591,337
781,334
191,323
675,322
237,320
114,318
1171,316
1983,311
981,306
145,301
1243,300
924,300
270,295
1564,291
1349,290
1816,286
235,282
165,282
1665,280
2004,279
314,276
1855,251
78,249
843,249
1984,248
1097,244
202,244
1066,243
1114,241
1480,241
1027,237
392,235
657,233
656,232
835,232
956,231
699,230
1444,226
425,225
18,222
283,220
94,216
1028,214
31,211
1143,211
1013,210
1985,205
205,204
350,201
1972,201
1744,201
147,200
102,199
1537,195
201,193
1353,188
1224,188
67,184
1583,182
116,179
1077,177
79,176
881,176
588,174
1357,173
309,173
1086,172
167,170
215,168
1513,166
295,166
1325,166
1279,165
674,165
879,164
1817,163
1667,162
974,162
13,162
352,162
1145,161
1210,161
1992,159
1457,158
1308,158
1104,157
1087,156
74,155
1267,154
1123,153
1476,153
1070,153
1384,153
1755,152
1350,151
790,149
1573,148
353,147
1693,145
1696,145
1779,145
623,145
289,143
1249,140
1004,139
1501,138
1670,138
1365,137
1866,136
857,136
229,135
878,134
1738,131
1440,131
863,130
1765,130
121,128
833,127
281,126
880,126
1663,126
1597,126
751,123
328,120
1063,120
2044,119
654,119
231,118
940,118
341,117
97,116
1416,116
1920,115
1975,113
932,111
273,111
902,111
319,110
1791,110
810,109
45,108
803,108
1034,107
2042,107
1844,106
1387,106
2,106
1285,106
40,106
1840,105
1735,105
1737,104
162,104
1717,104
472,104
1803,104
1417,103
1047,103
1729,103
1045,102
925,102
1079,101
502,100
1691,100
606,99
1959,99
1378,99
1541,99
802,99
1096,98
91,98
1386,98
1060,97
784,97
1567,96
383,96
325,96
461,96
255,96
1853,95
1312,94
419,94
562,93
927,93
324,93
1264,92
714,92
1886,92
831,92
586,91
1455,91
1904,91
1382,90
361,89
227,88
1430,88
703,87
14,87
590,87
1339,86
715,86
888,86
1745,85
222,85
1905,85
666,85
157,84
791,84
1487,84
1808,84
1230,84
1136,83
1770,83
1453,83
1978,83
1966,82
1820,82
598,82
1366,82
306,82
131,82
428,81
107,81
1485,80
947,80
1481,79
1825,79
950,79
931,79
1003,78
747,78
1887,78
184,78
1599,77
890,77
1071,77
1428,76
175,75
1163,75
1581,75
960,75
1164,74
241,74
1723,74
54,74
1367,73
1645,73
700,72
92,72
407,72
707,72
1953,71
901,71
271,71
883,71
968,71
62,70
1999,70
1470,69
906,68
197,68
402,68
1849,68
910,68
1187,68
333,68
9,67
787,67
592,67
789,66
72,66
126,66
991,66
1274,65
1793,65
212,65
207,65
1405,64
786,64
647,64
1400,64
343,64
104,63
144,63
1460,63
357,62
90,62
1655,62
984,61
1390,61
1442,61
432,61
1295,61
1347,61
252,61
1540,61
1233,61
759,61
1508,60
1603,60
693,60
1160,60
1680,60
1746,60
69,59
329,59
1055,58
2041,58
1446,58
898,58
1792,57
1522,57
1531,57
855,56
801,56
530,56
2047,56
142,56
1912,56
1730,56
28,56
384,56
1535,55
1876,55
1881,55
1011,55
1806,55
87,55
866,55
391,55
2000,55
1990,55
1245,55
652,54
1687,54
1138,54
1270,54
2009,54
1649,54
439,53
180,53
667,53
179,52
1632,52
1041,52
4,52
1775,52
1666,52
233,52
36,52
599,52
739,51
809,51
61,51
743,51
1269,50
978,50
731,50
1195,50
448,50
1647,49
1998,49
1799,49
1982,49
140,49
346,49
1415,48
305,48
507,48
616,48
845,48
1810,48
1771,47
523,47
1686,46
1773,46
1554,46
301,46
1209,46
1804,46
896,46
828,46
1544,46
1922,46
847,46
220,45
371,45
1049,45
885,45
335,44
679,44
1103,44
1255,44
1783,43
1205,43
913,43
811,43
692,43
528,43
463,43
1218,42
892,42
1741,42
1464,42
504,42
635,42
1648,42
1504,42
1715,42
119,42
1548,42
1885,42
1441,42
1592,41
1519,41
1574,41
41,41
166,41
1260,41
33,41
1618,41
1640,41
1976,41
1422,40
1656,40
1110,40
1184,40
1594,40
1807,40
491,40
936,40
282,40
531,39
2034,39
1563,39
1637,39
172,39
1344,39
1586,39
763,39
1900,39
193,39
1527,39
2017,38
1796,38
1671,38
1192,38
1856,38
5,38
870,38
1007,38
403,38
1495,38
469,38
372,38
489,38
490,38
1035,37
915,37
912,37
468,37
1456,37
1951,37
1943,37
1685,37
1523,37
708,37
771,37
613,37
1619,37
1713,37
664,37
1273,37
204,37
871,36
1025,36
1728,36
1043,36
1128,36
548,36
1310,36
1926,36
1125,36
1795,36
1892,36
1580,36
676,36
1053,35
1226,35
999,35
1148,35
251,35
1578,35
1402,35
209,35
1336,35
1321,35
564,35
741,35
466,35
556,35
1712,34
401,34
1700,34
287,34
1847,34
1860,34
1375,34
687,34
474,34
330,34
1914,34
42,34
1726,34
804,33
1151,33
1236,33
985,33
975,33
1362,33
203,33
415,33
797,33
427,33
1977,33
479,33
997,33
605,33
557,33
118,33
1251,33
1910,32
1759,32
1971,32
217,32
1162,32
317,32
1859,32
750,32
1005,32
458,32
1221,32
837,32
1996,32
1119,32
261,32
1516,31
849,31
1322,31
1822,31
106,31
1651,31
893,31
1050,31
969,31
445,31
1689,31
617,31
1673,31
46,31
1454,31
455,30
1582,30
1510,30
736,30
727,30
158,30
684,30
475,30
149,30
757,30
1265,30
239,30
511,30
581,30
1129,30
795,30
438,30
596,30
1589,30
327,30
1937,30
1287,30
1208,30
552,30
1038,29
806,29
874,29
514,29
1617,29
277,29
929,29
1449,29
1090,29
499,29
1530,29
1232,29
34,29
1434,29
440,29
1247,29
1257,29
836,29
1058,29
473,28
1225,28
1342,28
8,28
1790,28
610,28
954,28
1445,28
238,28
394,28
248,28
1934,28
57,28
1518,27
